Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,BAT_2,BH-AAA-B5AK001,115.0,-117.6,0.0,bottom
C1,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,88.300002,-149.25,180.0,bottom
C10,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,80.5,-158.0,180.0,bottom
C11,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,78.0,-154.5,270.0,bottom
C20,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.300002,-147.8,180.0,bottom
C21,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,89.000002,-142.3,270.0,bottom
C22,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.100002,-144.4,0.0,bottom
C23,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,94.700002,-147.8,180.0,bottom
C24,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,94.700002,-146.1,180.0,bottom
C25,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,94.700002,-144.4,180.0,bottom
C26,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.100002,-146.1,0.0,bottom
C30,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,93.100002,-53.9,180.0,bottom
C31,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,84.200002,-55.0,270.0,bottom
C32,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,82.900002,-46.1,0.0,bottom
C33,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,90.5,-43.8,0.0,bottom
C37,20p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,88.5,-40.6,270.0,bottom
C38,20p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,86.300002,-43.7,180.0,bottom
C40,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,146.500002,-43.0,0.0,bottom
C50,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,105.125,-45.75,180.0,bottom
C51,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,103.9325,-49.0,180.0,bottom
C60,4.7u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.2,-155.0,270.0,bottom
C80,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,121.9,-44.0,90.0,bottom
C92,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.8,-129.2,0.0,bottom
D00,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,133.000002,-53.0,0.0,top
D01,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,136.000002,-53.0,0.0,top
D02,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,139.000002,-53.0,0.0,top
D03,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,142.000002,-53.0,0.0,top
D04,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,145.000002,-53.0,0.0,top
D05,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,148.000002,-53.0,0.0,top
D06,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,151.000002,-53.0,0.0,top
D07,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,154.000002,-53.0,0.0,top
D10,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,133.000002,-56.0,0.0,top
D100,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,109.000002,-59.0,0.0,top
D101,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,112.000002,-59.0,0.0,top
D102,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,115.000002,-59.0,0.0,top
D103,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,118.000002,-59.0,0.0,top
D104,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,121.000002,-59.0,0.0,top
D105,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,124.000002,-59.0,0.0,top
D106,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,127.000002,-59.0,0.0,top
D107,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,130.000002,-59.0,0.0,top
D11,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,136.000002,-56.0,0.0,top
D110,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,109.000002,-62.0,0.0,top
D111,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,112.000002,-62.0,0.0,top
D112,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,115.000002,-62.0,0.0,top
D113,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,118.000002,-62.0,0.0,top
D114,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,121.000002,-62.0,0.0,top
D115,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,124.000002,-62.0,0.0,top
D116,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,127.000002,-62.0,0.0,top
D117,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,130.000002,-62.0,0.0,top
D12,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,139.000002,-56.0,0.0,top
D120,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,109.000002,-65.0,0.0,top
D121,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,112.000002,-65.0,0.0,top
D122,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,115.000002,-65.0,0.0,top
D123,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,118.000002,-65.0,0.0,top
D124,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,121.000002,-65.0,0.0,top
D125,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,124.000002,-65.0,0.0,top
D126,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,127.000002,-65.0,0.0,top
D127,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,130.000002,-65.0,0.0,top
D13,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,142.000002,-56.0,0.0,top
D130,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,109.000002,-68.0,0.0,top
D131,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,112.000002,-68.0,0.0,top
D132,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,115.000002,-68.0,0.0,top
