Designator,Value,Footprint,Qty,Ref,
C01,0.1u,0603,1,SMD陶瓷電容,
"C30,C31,C32,C33,C34,C40,C51",0.1u,0402,7,SMD陶瓷電容,
"C10,C11",1u,0603,2,SMD陶瓷電容,
"C20, C50",10u,0603,2,SMD陶瓷電容,
C21,22u,0603,1,SMD陶瓷電容,
"C37,C38",20p,0402,2,SMD陶瓷電容,
D00~D77,LED,0402,64,紅光或白光LED,
"D1, D2",NSR0320MW2T1G,SOD-323,2,蕭特基二極體,
D3,IR LED 940nm,0603,1,,
J1,10118192-0002LF,,1,https://www.mouser.tw/ProductDetail/Amphenol-FCI/10118192-0002LF?qs=KVgMXE4aH4nIkuWlMxQzog%3D%3D,
J2,2pin header,2pin 2.54mm,1,https://reurl.cc/E40Aqn,
J3,4pin header,4pin 2.54mm,1,https://reurl.cc/Z9kmRg,
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",2N7002,SOT-23,8,"NMOS FET ",
"R1,R2",20R,0402,2,,
R3,4.7k,0402,1,,
R4,47k,0402,1,,
"R5,R10,R20,R21,R22,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R410",0,0402,16,,
R30,1k,0402,1,,
R50,47,0402,1,,
R80-R87,300,0402,8,,
SW1-SW8,Tactile Switch,TS04,8,https://reurl.cc/4jzKQL,
U1,TLV70328,SOT-23-5,1,,
U2,AMS1117,SOT-223-2,1,,
U3,STM32F103C8,LQFP48,1,,
U4,CD74HCT238M,SOIC-16(SOP-16),1,,
U5,IRM-3638T,,1,,
Y1,8MHz,Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,石英震盪器,
Y2,32.768kHz,Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm,1,石英震盪器,
